tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
192713,102154,08/31/2015,12,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,107 GREENWICH AVENUE,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007700,New York,40.73791181,-74.00199676,983696.6523,208117.7813,3,77,1011047,1006150079
200503,210289,09-03-15,4,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2014 GERRITSEN AVENUE,11229,Brooklyn,315,3,Brooklyn,46,41,22,BK44,Madison,3056800,New York,40.604731,-73.93853749,1001316.727,159602.192,46,568,3197830,3073130005
185604,505750,08/29/2015,8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,566 EAST 191 STREET,10458,Bronx,206,2,Bronx,15,78,34,BX06,Belmont,2039700,New York,40.85945752,-73.88558278,1015899.81,252421.7954,15,397,2016287,2032730325
201478,338001,09-04-15,8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,131-005 NEWPORT AVENUE,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4092800,New York,40.57708625,-73.85070039,1025724.222,149559.8666,32,928,4305828,4162650006
178575,105639,08/26/2015,10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,305 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74865418,-73.97795891,990357.1124,212032.3289,4,80,1019108,1008930066
178582,308594,08/26/2015,23,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,"Stones,WiresRope,BranchLights",Yes,No,No,Yes,No,No,Yes,No,No,88-005 74 PLACE,11421,Woodhaven,409,4,Queens,30,38,12,QN53,Woodhaven,4000400,New York,40.6883251,-73.8665587,1021257.181,190080.0149,30,4,4182762,4088950021
190241,106490,08/30/2015,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,519 COLUMBUS AVENUE,10024,New York,107,1,Manhattan,6,69,29,MN12,Upper West Side,1016900,New York,40.7859023,-73.97246071,991876.278,225603.4862,6,169,1031349,1011990001
179547,103388,08/27/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,127 ALLEN STREET,10002,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1001800,New York,40.71991019,-73.99005439,987006.9026,201559.3801,1,18,1005492,1004150032
208409,345647,09-07-15,9,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No,315 ONDERDONK AVENUE,11385,Ridgewood,405,4,Queens,34,37,12,QN20,Ridgewood,4053900,New York,40.70866955,-73.91485148,1007856.978,197475.3895,34,539,4081123,4033990001
181001,226283,08/27/2015,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,730 CLASSON AVENUE,11238,Brooklyn,308,3,Brooklyn,35,57,20,BK61,Crown Heights North,3030500,New York,40.67524603,-73.96001125,995342.2317,185289.2758,35,305,3028960,3011620056
