recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
117214,2458 E 28 ST,2458,E 28 ST,11235,215,Front,ACPL,15,Good,Yes,Raised,None,Brooklyn,1000269.584,155087.1067,-73.942319,40.59234,315,11235,59402,2001,BK17,39708,MAPLE NORWAY,ACER PLATANOIDES,(40.59234 -73.942319)
100218,207 61 ST,207,61 ST,11220,207,Side,PLAC,29,Good,None,Raised,None,Brooklyn,977804.7195,173467.7744,-74.023225,40.642803,307,11220,22,3000,BK32,17685,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.642803 -74.023225)
407318,236 B 128 ST,236,B 128 ST,11694,414,Front,ACPL,4,Good,Yes,Good,None,Queens,1035971.785,181079.395,-73.81357,40.663547,414,11694,93401,3001,QN10,49904,MAPLE NORWAY,ACER PLATANOIDES,(40.663547 -73.81357)
33611,35 W 128 ST,35,W 128 ST,10027,110,Adjacent,GLTR,0,Excellent,None,Good,None,Manhattan,1000308.03,233954.6856,-73.941993,40.808813,110,10027,208,2002,MN03,173025,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.808813 -73.941993)
334719,47-001 PARSONS BLVD,47-001,PARSONS BLVD,11355,407,Front,PLAC,33,Good,Yes,Raised,None,Queens,1036240.815,213374.0201,-73.812351,40.752186,407,11355,1199,1007,QN52,91760,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.752186 -73.812351)
407569,140-001 ROCKAWAY BEACH AV,140-001,ROCKAWAY BEACH AV,11694,414,Front,ACPL,3,Excellent,None,Good,None,Queens,1024041.7,147836.215,-73.856767,40.572363,414,11694,928,1010,QN10,168793,MAPLE NORWAY,ACER PLATANOIDES,(40.572363 -73.856767)
270557,132-010 114 PL,132-010,114 PL,11420,410,Front,ACPL,4,Good,Yes,Good,None,Queens,1032957.34,185171.5718,-73.824406,40.674796,410,11420,840,4004,QN55,54775,MAPLE NORWAY,ACER PLATANOIDES,(40.674796 -73.824406)
227129,147-019 70 AV,147-019,70 AV,11367,408,Front,QURU,13,Good,None,Good,None,Queens,1033937.636,205300.0483,-73.820723,40.730038,408,11367,77906,2000,QN37,116721,OAK NORTHERN RED,QUERCUS RUBRA,(40.730038 -73.820723)
327269,83-061 DANIEL ST,83-061,DANIEL ST,11435,408,Front,UNKNOWN,20,Poor,None,Raised,None,Queens,1,1,1,1,408,11435,22002,2001,QN35,56775,UNKNOWN LIVE TREES,UNKNOWN LIVE TREES,(1 1)
314850,22-004 HIMROD ST,22-004,HIMROD ST,11385,405,Front,GLTR,4,Good,Yes,Good,None,Queens,1009776.103,198653.2367,-73.907925,40.711897,0,0,Unknown,Unknown,Unknown,0,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.711897 -73.907925)
423485,189-001 45 RD,189-001,45 RD,11358,411,Side,ACRU,3,Good,None,Good,None,Queens,1041995.23,214363.87,-73.791573,40.754867,411,11358,1459,2000,QN48,97158,MAPLE RED,ACER RUBRUM,(40.754867 -73.791573)
490638,38 LEGATE AV,38,LEGATE AV,10312,503,Adjacent,PRSE1,4,Good,Yes,Good,None,Staten Island,932237.0479,141136.6638,-74.187172,40.553911,503,10312,17007,1004,SI48,3993,CHERRY BLACK,PRUNUS SEROTINA,(40.553911 -74.187172)
52802,2675 WATERBURY AV,2675,WATERBURY AV,10461,110,Front,QURU,6,Good,Yes,Good,None,Bronx,1029270.328,243707.9055,-73.837306,40.835482,210,10461,194,1004,BX52,87346,OAK NORTHERN RED,QUERCUS RUBRA,(40.835482 -73.837306)
